Wk of 9/12/22     Cut off: 9/12/22  @3pm,,,,,,,,
4,A-61011,30 CASES,,,GC,,,
5,F-04111,5 PLTs,,"BBD ""10/26/2023"" - URGENT!",HL,,,
6,D-04011,10 PALLETS (add more if we still have space) ,,,GC,,,
,,Total 21 plts,,"Closed on 10/3; picked up on 10/5, Arrived on 10/6",,,,
,,,,,,,,
Wk of 10/10/22     Cut off: 10/10/22  @3pm,,,,,,,,
Transfer# 5727,,SF - LA,,NOTE (Urgent?),Requested by,,,
1,F-12105,13cs (2plts),,URGENT; AC on,SYS,,,
2,F-04001,4 PLTs,,,JPC,,,
3,A-61220,96cs (4plts),,,SYS,,,
4,D-04033,3 PALLETS,,,GC,,,
5,J-55502,5 cs,,,JPC,,,
6,J-55503N,2 cs,,,JPC,,,
7,C-70050,2 PALLET,,,GC,,,
8,C-70052,2 PALLET,,,GC,,,
9,M-94306,50 CASES,,,GC,,,
Fill up,D-04011,5 PALLETS,,,GC,,,
,,Total: 22 plts,,Closed on 10/10; sent to WH on 10/11;Picked up 10/12; arrived 10/13,,,,
,,,,,,,,
Urgent Transfer ,,,,,,,,
Transfer# 5733,,SF - LA,,NOTE (Urgent?),Requested by,,,
1,F-50410,1 PLT (84 cs),,"URGENT, PO on hand",WYL,,,
2,Transfer #5721,2 plts,,Ginseng,Fui,,,
3,D-41986,2 PALLETS,,,GC,,,
4,D-04036,1 PALLET,,,GC,,,
5,D-04030,1 PALLET,,,GC,,,
,,Total 7 plts,,Picked up on 10/14; Arrived on 10/17,,,,
,,,,,,,,
Wk of 10/17/22     Cut off: 10/17/22  @3pm,,,,,,,,
Transfer# 5736,,SF - LA,,NOTE (Urgent?),Requested by,,,
1,A-61011,50 CASES,,,GC,,,
2,A-61030,70 CASES,,POPLA (ADA),ADA- POPLA,,,
3,D-04011,10 PALLETS,,,GC,,,
4,F-00502,30 cs,,,JPC,,,
5,D-60021,3 CASES,,,GC,,,
6,D-04033,2 PALLETS,,(25 CASES/PALLET),GC,,,
7,,1 cs,,sample,JPC,,,
,,Total: ,,Closed on 10/17; send to WH on 10/19; Arrived 10/24,,,,
,,,,,,,,
"Week 10/24/22, Cut Off: 10/24/22 @ 3pm",,,,,,,,
Transfer #5741,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,#5740,,,Ginseng,Fui,,,
2,F-04111,5 PLTs,,Lot #11/03/2023 (Urgent),HL,,,
3,F-04130,2 pallets,,Urgent,HL,,,
4,F-42003,100cs,,,JPC,,,
5,D-04033,3 PALLETS,,(25 CASES/PALLET),GC,,,
6,T-31545,200 cases ,,,HL,,,
7,D-60011,20 CASES,,,GC,,,
8,D-60012,20 CASES,,,GC,,,
9,D-60017,30 CASES,,,GC,,,
10,D-60023,3  CASES,,,GC,,,
11,D-02030,40 CASES,,,GC,,,
12,F-11178A,1 PALLET,,,GC,,,
13,C-70113,20 CASES,,,HL,,,
14,A-61030,50 CASES (600 BAGS),,,POPLA-ADA,,,
,,Total,,"Closed on 10/24, hassed to Warehouse for picking on 10/25; picked up 10/28; Arrived 10/31; #5740 submitted 11/2; Sun reconfirmed D-60023 lot#, Andy reconfirmed D-60023 lot#; D-60023 moved to new #5754, Andy submitted adjustment form, #5754 posted",,,,
,,,,,,,,
"Week 10/31/22, Cut Off: 10/31/22 @ 3pm",,,,,,,,
Transfer #5755,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,C-70113,2 pallets,,Urgent,HL,,,
2,D-03052,2 plts,,"Lot#2020458
order on 6/1",JD,,,
3,F-04130,2 pallets,,,HL,,,
4,D-04033,3 PALLETS,,(25 cases / pallet),GC,,,
5,F-04005,1 PLT,,,JPC,,,
6,F-04073,1 PLT,,,JPC,,,
7,D-02030,1 PALLET,,,GC,,,
8,M-94306,60 CASES,,,GC,,,
9,#5747,Ginseng,,#5747 to Fui 11/2,Fui,,,
,,Total: 13 plts,,"Closed 10/31, sent list to Andy 11/1, #5755 sent to Simon 11/4, pending pickup 11/7, picked up 11/8, received 11/9, #5755 & #5747 submitted 11/9",,,,
,,,,,,,,
"Week 11/7/22, Cut Off: 11/7/22 @ 3pm",,,,,,,,
Transfer #5757,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,F-87110,84cases,,Urgent Lot#10142023,JD,,,
2,F-87111,84cases,,Urgent Lot#10142023,JD,,,
3,#5752,102cs (4plts),,Pkg mateials - ready,SYS,,,
4,F-11077,10 CASES,,,GC,,,
5,C-70121,22 CASES,,,GC,,,
6,C-70430,20 CASES,,,GC,,,
,,Total: 9 plts,,"Closed 11/7; confirmed 11/8; sent list to Andy 11/8, sent #5757 & #5752 to Andy 11/9, picked up 11/9, ETA 11/10, received 11/10, #5757 submitted 11/10, #5752 submitted 11/15, received & submitted revised #5752",,,,
,,,,,,,,
"Week 11/14/22, Cut Off: 11/14/22 @ 3pm",,,,,,,,
Transfer #5774,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,Flyers,3 cs,,to Xiu Zhen,AWC,,,
2,K-88051,10 cases,,,HL,,,
3,D-04011,3 PALLETS,,,GC,,,
4,#5762,2 plts,,Ginseng (Urgent-XD),Fui,,,
5,J-40136,1 cs (4 bags),,Matcha latte to Winson/Xiu Zhen,JPC,,,
6,C-70430,15 CASES,,,GC,,,
7,C-70121,1 PALLET,,,GC,,,
8,C-70123,1 PALLET,,PO#37277 11/14 ARRIVED,GC,,,
9,C-70310,1 PALLET,,,GC,,,
10,C-70330,2 PALLETS,,PO#37277 11/14 ARRIVED,GC,,,
11,C-70530,1 PALLET,,PO#37277 11/14 ARRIVED,GC,,,
12,D-04061,3-5 PALLETS,,ASAP,GC,,,
13,D-60015,12 CASES,,,GC,,,
14,D-02007,2 PALLETS,,added after 11/14,GC,,,
15,#5779,AG bags,,#5779 issued by LY after received 11/21,Fui,,,
,,Total: 20 plts,,"Closed 11/14, confirmed 11/16, sent list to Andy 11/16, sent #5774 to Andy 11/17, JK picked up 11/18, received 11/21, #5774 & 5762 submitted 11/21, #5779 submitted 11/28",,,,
,,,,,,,,
"Week 11/21/22, Cut Off: 11/21/22 @ 3pm",,,,,,,,
Transfer #5782,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,#5766,3 pallets,,"pkg materials
moved from wk 11/14",SYS,,,
2,F-04070,1 PLT,,,JPC,,,
3,F-04002,1 PLT,,,JPC,,,
4,D-04033,4 PALLETS (25 CS/PALLET),,"PO#37355, ETA: 11/28
moved to wk 11/28",BP,,,
5,F-11077,10 CASES,,,GC,,,
6,F-00376,30cs,,,JPC,,,
7,F-00505,10cs,,,JPC,,,
8,F-04130,5 pallets (50cs/pallet),,2024,HL,,,
9,GHC poster, 1 box,,to Xiu Zhen,AWC,,,
10,PO#37408,10cs,,Urgent,JD,,,
,,Total: 11 plts,,"Closed 11/21, confirmed 11/22, sent list to Andy 11/22, picked up 11/25, sent #5782 to Andy 11/28, received 11/28, sent #5782 & 5766 to Sun for receiving 11/29, #5782 & 5766 submitted 11/29",,,,
,,,,,,,,
"Week 11/28/22, Cut Off: 11/28/22 @ 3pm",,,,,,,,
Transfer #5786,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,F-04075,1 PLT,,,JPC,,,
2,F-04114,2 pallets,,Urgent,HL,,,
3,A-61011,10 CASES,,,GC,,,
4,D-41986,2 PALLETS,,,GC,,,
5,M-94306,40 CASES,,,GC,,,
6,F-11148A,20 CASES,,,GC,,,
7,F-11076A,7 CASES,,,GC,,,
8,C-70113,1 PALLET,,,HL,,,
9,D-04033,4 PALLETS (25 CS/PALLET),,"PO#37355, delivered 11/28",BP,,,
10,J-31041,60 cs,,for Hmart newsletter,WYL,,,
,,Total: 12 plts,,"Closed 11/28, confirmed 11/28, sent list to Andy 11/28, sent #5786 to Andy 11/29, picked up 11/30, ETA 12/1, delivered 12/1, #5786 submitted 12/1",,,,
,,,,,,,,
"Week 12/5/22, Cut Off: 12/5/22 @ 3pm",,,,,,,,
Transfer #5760,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,#5758,2 plts,,"Ginseng
#5758 to Fui 12/2, revised 12/5",Fui,,,
2,F-04111,2 PLTs,,BBD10/27/2023 (Urgent!),HL/JPC,,,
3,F-04111,5 PLTs,,"BBD 11/03/2023 
or 11/04/2023 
or 11/05/2023 (Urgent!)",HL/JPC,,,
4,D-04011,4 PALLETS,,(25 CASES/PALLET),GC,,,
5,S-06011,30 CASES,,,GC,,,
6,M-00037,12cs,,Urgent,SYS,,,
7,M-41066,133cs (1plt),,,SYS,,,
8,T-44040,50 cases,,,EY,,,
9,#5758,"Pkg material
2 pallets",,Am GSG Tea cartons &  labels/ urgent - Ready,SYS,,,
10,M-41062,133cs (1plt),,,SYS,,,
11,F-87116,64 cases,,Urgent Lot#10142023,JD,,,
12,F-87110,32 cases,,Urgent Lot#10142023,JD,,,
13,F-87113,32 cases,,Urgent Lot#10142023,JD,,,
14,D-02060,40 CASES,,,GC,,,
15,D-04033,3 plts,,,GC,,,
,,Total: 24 plts,,"Closed 12/5, confirmed 12/6, sent list to Andy 12/6 , #5760 to Andy 12/8, JK picked up 12/9, ETA 12/12, delivered 12/12, #5760 submitted 12/13, #5758 submitted 12/14",,,,
,,,,,,,,
"Week 12/12/22, Cut Off: 12/12/22 @ 3pm",,,,,,,,
Transfer #5798,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,P-RTBAG,"40 cs
(8,000 pcs, 200/cs)",,for 過年使用,AWC,,,
2,F-10921,10cs,,,JPC,,,
3,F-10917,5cs,,,JPC,,,
4,F-04002,1 PLT,,,JPC,,,
5,F-04005,2 PLTs,,,JPC,,,
6,F-04008,40cs,,,JPC,,,
7,#5785,1 plts,,"Ginseng
#5785 to Fui 12/9, revised 12/12",Fui,,,
8,Firewall,1 cs,,For Marcus,EH,,,
9,F-04130,8 pallets,,"URGENT, KeHe pickup next week",HL,,,
,,Total: 16 plts,,"Closed 12/12, confirmed 12/12, sent list to Andy 12/12, sent #5798 & 5785 to Andy 12/13, JK picked up 12/14, ETA 12/15, delivered 12/15, #5798 submitted 12/15, #5785 submitted 12/21",,,,
,,,,,,,,
"Week 12/19/22, Cut Off: 12/19/22 @ 3pm
*No transfer for week 12/26 & 1/2",,,,,,,,
Transfer #5803,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,D-04011,6 PALLETS,,,GC,,,
2,D-03002A,1 PALLET,,,GC,,,
3,D-04061,3 PALLETS,,,GC,,,
4,D-04037,5 PALLETS,,,GC,,,
5,C-70530,25 CASES,,URGENT,GC,,,
6,D-18220N,12 CASES,,,GC,,,
7,D-13020N,12 CASES,,,GC,,,
8,C-70021,2 PALLETS,,,GC,,,
9,C-70050,2 PALLETS,,,GC,,,
10,F-50121,30 CS,,,WYL,,,
11,F-00503,40cs,,BBD 8/1/2023,JPC,,,
12,Calendar,"23 cs (2,300 ea)",,URGENT,BP,,,
,,Total: 21 plts,,"Closed 12/19, confirmed 12/19, sent list to Andy 12/20, sent #5803 to Andy 12/20, JK picked up 12/21, ETA 12/22, delivered 12/22, #5803 submitted 12/22",,,,
,,,,,,,,
"Week 12/26/23, Special Transfer",,,,,,,,
Transfer #5811,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,F-04131,4 pallets,,Urgent (need 05/2024 lot),HL,,,
2,D-04037,3 pallets,,,HL,,,
3,M-41061,2plts,,,SYS,,,
4,M-41062,1plts,,,SYS,,,
5,M-41066,1plts,,,SYS,,,
6,#5808,12 cs,,"Ginseng bag - Urgent
revised 12/27",Fui,,,
7,D-04030,2 PALLETS,,,GC,,,
8,C-70052,1 PALLET,,,GC,,,
9,A-61030,40 CASES,,,GC,,,
10,A-61012,60 CASES,,URGENT! ,GC,,,
11,M-57005,72cases,,lot#06012025,JD,,,
12,F-04111,5 PLTs ,,BBD 11/04/2023 (Urgent),HL,,,
,,Total: 22 plts,,"Closed 12/29, sent list to Andy 12/29, sent #5811 to Andy 12/29, JK picked up 12/30, ETA 1/3, delivered 1/3, #5811 & 5808 submitted 1/4",,,,
,,,,,,,,
"Week 1/9/23, Cut Off: 1/9/23 @ 3pm
*No transfer for week 12/26 & 1/2",,,,,,,,
Transfer #5820,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,M-70081,25cases,,Urgent Lot#36182,JD,,,
2,PO#37518,7 cs,,Urgent waiting for SF consoliating,JD,,,
3,J-75004,40cases,,Urgent Lot#01142024,JD,,,
4,J-56203,70 CS,,,WYL,,,
5,J-56204,70 CS,,,WYL,,,
6,D-04037,3 PALLETS,,ASAP,GC,,,
7,D-04061,6 PALLETS,,ASAP,GC,,,
8,C-70052,1 PALLET,,,GC,,,
9,C-70330,1 PALLET,,,GC,,,
10,C-70530,10 CASES,,,GC,,,
11,C-70730,1 PALLET,,,GC,,,
12,F-11077,20 CASES,,,GC,,,
13,D-13220N,20 CASES,,,GC,,,
14,#5818,28 cs,,"Ginseng
sent #5818 to Fui 1/10",Fui,,,
,,Total: 16 plts,,"Closed 1/9, confirmed 1/9, sent list to Andy 1/10, sent #5820 to Andy 1/11, JK picked up 1/13, ETA 1/16, delivered 1/16, #5820 & 5818 submitted 1/17",,,,
,,,,,,,,
"Week 1/16/23, Cut Off: 1/16/23 @ 3pm",,,,,,,,
Transfer #5826,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,A-61012,60 CASES (2 Pallets),,ASAP,GC,,,
2,Apron,5 pc,,to Xiu Zhen,AWC,,,
3,C-70123,2 PALLETS,,PO#37442 1/17  ARRIVE LIVERMORE,GC,,,
4,C-70430,2 PALLETS,,PO#37442 1/17  ARRIVE LIVERMORE,GC,,,
5,C-70530,1 PALLET,,PO#37442 1/17  ARRIVE LIVERMORE,GC,,,
6,D-60013,20 CASES,,,GC,,,
7,D-60014,20 CASES,,,GC,,,
8,D-60021,3 CASES,,,GC,,,
9,D-03052,3 PLTS,,Lot#1059361,JD,,,
10,D-03055N,2PLTS,,Lot#1019148,JD,,,
11,D-03057,1PLT,,Lot#0048205,JD,,,
12,D-04046N,5 plts,,URGENT,BP,,,
13,J-40136,5 plts,,URGENT,BP,,,
14,WAG poster,1 cs,,to Xiu Zhen,AWC,,,
,,Total: 24 plts,,"Closed 1/17, confirmed 1/17, sent list to Andy 1/17, sent revised list to Andy 1/18, #5826 to Andy 1/19, JK picked up 1/20, ETA 1/23, delivered 1/23, #5826 submitted 1/23",,,,
,,,,,,,,
"Week 1/23/23, Cut Off: 1/23/23 @ 3pm",,,,,,,,
Transfer #5836,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,F-00506,10cs,,,JPC,,,
2,F-00508,10cs,,,JPC,,,
3,F-04070,1 PLT,,,JPC,,,
4,F-04059,20cs,,,JPC,,,
5,F-04002,1 PLT,,,GC,,,
6,J-40150,45cs,,Lot# 51201D,JD,,,
7,#5832,1 plt (42 cs),,"Ginseng
#5832 to Fui 1/20",Fui,,,
8,A-61012,90 CASES (3 Pallets),,,GC,,,
9,C-70123,1 PALLET,,,GC,,,
10,D-04030,1 PALLET,,,GC,,,
,,Total: 9 plts,,"Closed 1/23, confirmed 1/23, sent list to Andy 1/23, sent #5836 to Andy 1/24, JK picked up 1/25, ETA 1/26, delivered 1/26, #5836 submitted 1/26, #5832 submitted 1/31",,,,
,,,,,,,,
"Week 1/30/23, Cut Off: 1/30/23 @ 3pm",,,,,,,,
Transfer #5838,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,K-83048,40cs,,URGENT,SYS,,,
2,Invoice papers,2 cs,,,Paul,,,
3,F-04111,3 pallets,,Lot 12232023,HL,,,
4,J-41214,5 cases,,,EY,,,
5,J-55500,10 cases,,,EY,,,
6,J-55502,10 cases,,,EY,,,
7,T-10030N,5 cases,,,EY,,,
8,F-76010,150cs,,,SYS,,,
9,F-42003,70 cs,,,EY,,,
10,F-04001,10 pallets,,URGENT - we have a pickup this up,HL ,,,
11,F-04002,5 pallets ,,URGENT ,HL,,,
12,D-04033 ,1 pallet (25 cs),,URGENT,GC,,,
13,"D-04033
#5839",8 plts (165 cs),,"URGENT
additional transfer, picked up 2/3",GC,,,
,,"#5838 - 23 plts (full load)
#5839 - 8 plts",,"Closed 1/30, confirmed 1/30, sent list to Andy 1/30, sent #5838 & 5839 to Andy 1/31; #5838 picked up 2/1 & ETA 2/2, #5838 delivered & submitted 2/2; #5839 picked up 2/3 & ETA 2/6, #5839 delivered & submitted 2/7",,,,
,,,,,,,,
"Week 2/6/23, Cut Off: 2/6/23 @ 3pm",,,,,,,,
Transfer #5846,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,D-04030,1 PALLET,,,GC,,,
2,D-04037,3 PALLETS,,LOT#J003F0 DATE: 10/2/2025,GC,,,
3,C-70121,1 pallet,,,HL,,,
4,J-56202,80 CS,,,WYL,,,
5,J-56203,80 CS,,,WYL,,,
6,J-56101,200CS,,PO37438 ETA 2/9,WYL,,,
7,J-56103,200 CS,,PO37438 ETA 2/9,WYL,,,
8,J-56104,120 CS,,PO37438 ETA 2/9,WYL,,,
9,J-56105,120 CS,,PO37438 ETA 2/9,WYL,,,
10,D-04041,26 CASES (30 cs),,item held (per GC),GC/WYL,,,
11,C-70113,1 PALLET,,,HL,,,
12,C-70430,1 PALLET,,,GC,,,
13,C-70530,1 PALLET,,,GC,,,
14,#5847,10 cs,,"Ginseng
#5847 to Fui 2/7",Fui,,,
15,F-04130,200 cs,,Added after confirmed,HL,,,
,,Total: 16 plts,,"Closed 2/6, confirmed 2/6, sent list to Andy 2/6, sent #5846 to Andy 2/7, JK picked up 2/8, ETA 2/9, delivered 2/9, #5846 & 5847 submitted 2/9, #5846 adjustment (add 4cs D-04041) submitted 2/9",,,,
,,,,,,,,
"Week 2/13/23, Cut Off: 2/13/23 @ 3pm",,,,,,,,
Transfer #,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,J-56101,200CS,,"urgent - PO37438
moved to special transfer #5859",WYL,,,
2,J-56103,200 CS,,"urgent - PO37438
moved to special transfer #5859",WYL,,,
3,J-56104,120 CS,,"urgent - PO37438
moved to special transfer #5859",WYL,,,
4,J-56105,120 CS,,"urgent - PO37438
moved to special transfer #5859",WYL,,,
5,#5852,1 cs,,"Packaging materials
#5852 to Fui 2/9
moved to wk 2/20",Fui,,,
6,#5854,? cs,,"Ginseng
#5854 to Fui 2/10
moved to wk 2/20",Fui,,,
7,M-41062 ,200cs,,moved to wk 2/20,SYS,,,
8,M-41066,240cs,,moved to wk 2/20,SYS,,,
9,F-04114,3 pallets,,moved to wk 2/20,HL,,,
10,D-02007,1 PALLET,,moved to wk 2/20,GC,,,
11,A-62030,40 CASES,,moved to wk 2/20,GC,,,
12,A-61012,100 CASES,,moved to wk 2/20,GC,,,
13,D-04030,1 PALLET,,moved to wk 2/20,GC,,,
14,D-04011,6 PALLETS,,moved to wk 2/20,GC,,,
15,"14"" Shrink Wrap Film",6 rolls,,"for Xiu Zhen
moved to wk 2/20",Linda,,,
,,None,,"Closed 2/13, no confirmation, #5857 standby, moved to wk 2/20",,,,
,,,,,,,,
"Week 2/13/23, special urgent transfer",,,,,,,,
Transfer #5859,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,F-04111,1200 cs,,Urgent - BBD Nov. 2023,HL,,,
2,F-04130,5 plts,,Urgent,HL,,,
3,J-56101,200 CS,,urgent - PO37438 - delivered 2/15,WYL,,,
4,J-56103,200 CS,,urgent - PO37438,WYL,,,
5,J-56104,120 CS,,urgent - PO37438,WYL,,,
6,J-56105,120 CS,,urgent - PO37438,WYL,,,
,,Total: 21 plts,,"Confirmed 2/16, sent list to Andy 2/16, sent #5859 to Andy 2/16, JK picked up 2/17, ETA 2/21, delivered 2/21, #5859 submitted 2/21",,,,
,,,,,,,,
"Week 2/20/23, Cut Off: 2/20/23 @ 3pm",,,,,,,,
Transfer #5857,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,D-15100N,2 PALLETS,,PO#37543 2/14 ARRIVE LIVERMORE ,GC,,,
2,D-14100N,1 PALLET,,PO#37543 2/14 ARRIVE LIVERMORE ,GC,,,
3,D-13220N,30 CASES,,PO#37543 2/14 ARRIVE LIVERMORE ,GC,,,
4,J-40136,5plts ,,lot# 11012024,JD,,,
5,#5863,5plts,,"pkg materials - picking
overload, moved to wk 2/27",SYS,,,
6,D-18100N,20 CASES,,PO#37543 2/14 ARRIVE LIVERMORE ,GC,,,
7,D-18120N,20 CASES,,PO#37543 2/14 ARRIVE LIVERMORE ,GC,,,
8,#5852,1 cs,,"Packaging materials
#5852 to Fui 2/9
overload, moved to wk 2/27",Fui,,,
9,#5854,? cs,,"Ginseng
#5854 to Fui 2/10
overload, moved to wk 2/27",Fui,,,
10,M-41062 ,200cs,,,SYS,,,
11,M-41066,240cs,,,SYS,,,
12,F-04114,3 pallets,,,HL,,,
13,D-02007,1 PALLET,,,GC,,,
14,A-62030,40 CASES,,*,GC,,,
15,A-61012,100 CASES,,*,GC,,,
16,D-04030,1 PALLET,,,GC,,,
17,D-04011,6 PALLETS,,,GC,,,
18,"14"" Shrink Wrap Film",6 rolls,,"for Xiu Zhen
overload, moved to wk 2/27",Linda,,,
19,F-04112,2 pallets,,Lot 03312024 Urgent,HL,,,
,,Total: 30 plts,,"Closed 2/21, confirmed 2/21, sent list to Andy 2/22, sent #5857 to Andy 2/22, #5857 revised 2/23, Global picked up 2/23, ETA 2/24, delivered 2/24, #5857 submitted 2/24",,,,
,,,,,,,,
"Week 2/27/23, Cut Off: 2/27/23 @ 3pm",,,,,,,,
Transfer #5876,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,"#5863
#5867",7plts,,"pkg materials - ready
moved to wk 3/6",SYS,,,
2,#5852,1 cs,,"Packaging materials
#5852 to Fui 2/9",Fui,,,
3,#5854,? cs,,"Ginseng
#5854 to Fui 2/10",Fui,,,
4,"14"" Shrink Wrap Film",6 rolls,,for Xiu Zhen,Linda,,,
5,#5869,? plt,,"Urgent - Ginseng & Pkg materials
#5869 to Fui 2/23",Fui,,,
6,D-04037,4 PALLETS,,LOT#J003F0 DATE: 10/02/2025,GC ,,,
7,D-04061,2 PALLETS,,,GC ,,,
8,D-41986,1 PALLET,,,GC ,,,
9,C-70052,2 PALLETS,,,GC ,,,
10,D-17100N,1 PALLET,,,GC ,,,
11,A-61117,"100cs
108 cs",,urgent - PO37403 delivered 3/2,SYS,,,
12,F-04131,200 cs,,added after confirmed,HL,,,
,,Total: 18 plts,,"Closed 2/27, confirmed 2/28, sent list to Andy 2/28, #5876 sent to Andy 3/2, JK picked up 3/3, ETA 3/6, delivered 3/6; #5876 submitted 3/6; #5852, 5854 & 5869 submitted 3/7",,,,
,,,,,,,,
"Week 3/6/23, Cut Off: 3/6/23 @ 3pm",,,,,,,,
Transfer #5877,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,C-70121,1 PALLET,,PO#37510 2/27 ARRIVED,GC,,,
2,C-70530,1 PALLET,,PO#37510 2/27 ARRIVED,GC,,,
3,F-04131,4 pallets,,lot 05262024,HL,,,
4,J-31037,250 cases,,,EY,,,
5,T-31545,100 cases,,,HL ,,,
6,"#5863
#5867",7plts,,"pkg materials
JK picked up 3/8, ETA 3/9, delivered 3/9, #5863 & 5867 submitted 3/9",SYS,,,
7,S-06011,2 PALLETS (128 cs)*,,URGENT! PO#37552 3/7 ARRIVE,GC,,,
8,S-06021,1 PALLET(64 cs)*,,URGENT! PO#37552 3/7 ARRIVE,GC,,,
9,S-06031,1 PALLET (64 cs)*,,URGENT! PO#37552 3/7 ARRIVE,GC,,,
10,S-06060,20 CASES*,,URGENT! PO#37552 3/7 ARRIVE,GC,,,
11,S-06012,35 CASES*,,URGENT! PO#37552 3/7 ARRIVE,GC,,,
12,D-02030,40 CASES,,"No enough inventory, transfer wk 3/13",GC,,,
13,D-04011,4 PALLETS,,,GC,,,
14,C-70430,1 PALLET,,,GC,,,
15,D-18220N,20 CASES,,,GC,,,
16,Demo cups,5 cases,,"added after confirmed, to XiuZhen",AWC,,,
17,F-04130,4 plts,,"Urgent, added after confirmed",HL,,,
,,Total: 24 plts,,"Closed 3/6, confirmed 3/6, sent revised list to Andy 3/7, sent #5877 to Andy 3/9, JK picked up 3/10, ETA 3/13, delivered 3/13, #5877 submitted 3/13",,,,
,,,,,,,,
"Week 3/13/23, Cut Off: 3/13/23 @ 3pm",,,,,,,,
Transfer #5892,,SF-LA,,NOTE (Urgent?),Requested by,,,
1,F-04130,"4 pallets (200 cs)
only transfer 2 plts",,Urgent,HL,,,
2,F-50137N,15cs,,Urgent C18229,JD,,,
3,F-50140,125cs,,Urgent C01245,JD,,,
4,F-50141,15cs,,Urgent C15249,JD,,,
5,F-50142,15cs,,Urgent C15248,JD,,,
6,F-50145,40cs,,Urgent C15202,JD,,,
7,D-02030,40 CASES,,,GC,,,
8,Matcha Latte Chinese poster,1 cs,,to Xiu Zhen,AWC,,,
9,D-04011,4 PALLETS (100 cs),,,GC,,,
