Document Date,Document Number,Document Type,Item Number,U Of M,TRX QTY,Unit Cost,Extended Cost,TRX Location,Document Status
03/31/2023,ASM013566,Bill of Materials,AC-B4BK,BAG,1200,8.503,10203.6,1,Posted
04/05/2023,ASM013567,Bill of Materials,AC-B16BK,BAG,960,28.255,27125.18,1,Posted
03/23/2023,ASM013577,Bill of Materials,A-61012,BOX,648,12.637,8188.78,2,Posted
03/24/2023,ASM013580,Bill of Materials,A-61012,BOX,456,12.637,5762.47,2,Posted
03/28/2023,ASM013581,Bill of Materials,A-61243,BOX,1920,8.16,15667.21,1,Posted
04/04/2023,ASM013583,Bill of Materials,A-61243,BOX,1652,8.167,13491.59,1,Posted
04/07/2023,ASM013584,Bill of Materials,A-61243,BOX,2364,8.171,19317.19,1,Posted
03/27/2023,ASM013585,Bill of Materials,A-61012,BOX,420,12.637,5307.54,2,Posted
03/27/2023,ASM013590,Bill of Materials,A-61220,BOX,2120,3.682,7806.04,3,Posted
03/28/2023,ASM013591,Bill of Materials,AC-B9SLE,BAG,800,22.744,18195.2,1,Posted
03/28/2023,ASM013594,Bill of Materials,A-61280,BAG,1152,12.599,14514.24,U,Posted
03/28/2023,ASM013595,Bill of Materials,AC-B4BK,BAG,4000,8.732,34927.79,3,Posted
03/30/2023,ASM013599,Bill of Materials,A-61260,BOX,504,10.055,5067.85,2,Posted
03/30/2023,ASM013602,Bill of Materials,A-61260,BOX,768,10.116,7769.13,3,Posted
04/19/2023,ASM013603,Bill of Materials,A-61220,BOX,1920,3.642,6992.64,3,Posted
03/31/2023,ASM013606,Bill of Materials,A-61260,BOX,603,10.234,6171.21,2,Posted
04/03/2023,ASM013609,Bill of Materials,A-61260,BOX,792,10.228,8100.58,2,Posted
04/06/2023,ASM013617,Bill of Materials,A-61260,BOX,984,10.228,10064.35,2,Posted
04/06/2023,ASM013623,Bill of Materials,A-61260,BOX,744,10.239,7617.71,2,Posted
05/31/2023,ASM013632,Bill of Materials,A-61260,BOX,1032,10.708,11050.64,2,Posted
04/13/2023,ASM013634,Bill of Materials,AC-B9SLE,BAG,1600,22.744,36390.4,1,Posted
04/11/2023,ASM013635,Bill of Materials,A-61280,BAG,576,12.598,7256.53,U,Posted
04/12/2023,ASM013638,Bill of Materials,A-61012,BOX,781,12.637,9869.49,2,Posted
04/25/2023,ASM013642,Bill of Materials,AC-B4BK,BAG,1600,8.488,13580,1,Posted
04/13/2023,ASM013645,Bill of Materials,A-61243,BOX,240,8.189,1965.36,3,Posted
04/13/2023,ASM013646,Bill of Materials,A-61260,BOX,576,10.228,5891.34,2,Posted
04/26/2023,ASM013649,Bill of Materials,A-61260,BOX,1671,9.654,16131.37,2,Posted
05/01/2023,ASM013651,Bill of Materials,AC-B8BK,BAG,1260,16.745,21098.7,1,Posted
04/17/2023,ASM013652,Bill of Materials,A-61260,BOX,955,10.228,9767.74,2,Posted
04/17/2023,ASM013653,Bill of Materials,A-61012,BOX,1080,12.124,13093.48,1,Posted
04/25/2023,ASM013659,Bill of Materials,A-61260,BOX,420,10.108,4245.36,3,Posted
04/20/2023,ASM013660,Bill of Materials,AC-B16BK,BAG,600,28.966,17379.75,3,Posted
04/21/2023,ASM013665,Bill of Materials,A-61280,BAG,864,12.599,10885.68,U,Posted
04/21/2023,ASM013669,Bill of Materials,A-61012,BOX,842,12.016,10117.48,1,Posted
04/27/2023,ASM013678,Bill of Materials,A-61260,BOX,737,12.236,9017.94,1,Posted
05/05/2023,ASM013679,Bill of Materials,AC-B4BK,BAG,1200,8.508,10209,1,Posted
05/09/2023,ASM013680,Bill of Materials,AC-B16BK,BAG,960,28.087,26963.52,1,Posted
06/08/2023,ASM013684,Bill of Materials,A-61012,BOX,288,11.856,3414.53,1,Posted
05/01/2023,ASM013693,Bill of Materials,A-61243,BOX,1400,8.417,11783.21,3,Posted
05/16/2023,ASM013694,Bill of Materials,A-61260,BOX,352,10.588,3726.98,3,Posted
05/05/2023,ASM013701,Bill of Materials,A-61260,BOX,1529,10.269,15701.94,1,Posted
05/02/2023,ASM013703,Bill of Materials,AC-B8BK,BAG,500,16.851,8425.5,3,Posted
05/12/2023,ASM013705,Bill of Materials,A-61260,BOX,1388,14.347,19913.53,2,Posted
05/04/2023,ASM013706,Bill of Materials,A-61012,BOX,1512,12.097,18290.17,2,Posted
05/10/2023,ASM013708,Bill of Materials,AC-B16BK,BAG,600,28.01,16806.16,3,Posted
05/08/2023,ASM013709,Bill of Materials,AC-B4BK,BAG,600,8.508,5104.5,1,Posted
05/10/2023,ASM013710,Bill of Materials,AC-B4BK,BAG,1200,8.508,10209,1,Posted
05/09/2023,ASM013713,Bill of Materials,A-61260,BOX,802,10.283,8246.84,1,Posted
05/05/2023,ASM013714,Bill of Materials,AC-B9SL,BAG,5600,23.017,128893.86,U,Posted
05/08/2023,ASM013715,Bill of Materials,A-61280,BAG,864,13.239,11438.64,U,Posted
05/10/2023,ASM013716,Bill of Materials,AC-B9SLE,BAG,1600,22.811,36496.82,1,Posted
05/19/2023,ASM013717,Bill of Materials,AC-B8BK,BAG,2100,16.755,35185.5,1,Posted
06/20/2023,ASM013718,Bill of Materials,AC-B8BK,BAG,2100,16.055,33715.5,1,Posted
05/16/2023,ASM013719,Bill of Materials,AC-B4BK,BAG,1600,8.497,13594.53,1,Posted
05/18/2023,ASM013720,Bill of Materials,AC-B4BK,BAG,1600,8.495,13592,1,Posted
06/01/2023,ASM013721,Bill of Materials,AC-B16BK,BAG,1200,27.392,32869.89,1,Posted
06/08/2023,ASM013722,Bill of Materials,AC-B16BK,BAG,1200,27.247,32696.4,1,Posted
05/11/2023,ASM013723,Bill of Materials,A-61260,BOX,1920,10.746,20632.32,1,Posted
05/10/2023,ASM013725,Bill of Materials,A-61012,BOX,2113,12.029,25416.94,2,Posted
05/12/2023,ASM013728,Bill of Materials,A-61012,BOX,1080,11.936,12890.88,1,Posted
05/11/2023,ASM013729,Bill of Materials,A-61260N,BOX,502,10.746,5394.48,1,Posted
05/25/2023,ASM013732,Bill of Materials,A-61260,BOX,768,10.588,8131.58,3,Posted
05/24/2023,ASM013733,Bill of Materials,A-61220,BOX,1600,3.832,6130.45,3,Posted
05/17/2023,ASM013735,Bill of Materials,A-61260,BOX,1440,10.358,14915.9,2,Posted
06/05/2023,ASM013745,Bill of Materials,A-61012,BOX,1440,11.943,17198.58,1,Posted
05/24/2023,ASM013750,Bill of Materials,A-61260,BOX,1896,10.708,20302.38,2,Posted
06/01/2023,ASM013759,Bill of Materials,A-61220,BOX,1000,3.802,3802,3,Posted
06/06/2023,ASM013760,Bill of Materials,A-61260,BOX,768,10.607,8146.43,3,Posted
05/24/2023,ASM013761,Bill of Materials,A-61260N,BOX,2400,10.8,25919.55,1,Posted
05/25/2023,ASM013763,Bill of Materials,A-61260N,BOX,2497,10.833,27050.11,1,Posted
05/25/2023,ASM013765,Bill of Materials,AC-B9SL,BAG,3303,23.015,76018.54,U,Posted
05/30/2023,ASM013768,Bill of Materials,A-61280,BAG,2016,13.292,26796.62,U,Posted
05/31/2023,ASM013769,Bill of Materials,AC-B9SLE,BAG,1600,23.355,37368.03,1,Posted
06/05/2023,ASM013771,Bill of Materials,A-61260,BOX,3068,10.8,33135.66,2,Posted
06/05/2023,ASM013774,Bill of Materials,A-61243,BOX,100,8.413,841.29,2,Posted
06/06/2023,ASM013775,Bill of Materials,A-61220,BOX,1000,3.783,3783,2,Posted
06/08/2023,ASM013778,Bill of Materials,A-61243,BOX,895,8.438,7551.63,2,Posted
06/08/2023,ASM013779,Bill of Materials,A-61260N,BOX,720,10.702,7705.44,1,Posted
06/09/2023,ASM013784,Bill of Materials,A-61012,BOX,1200,11.856,14227.2,1,Posted
06/13/2023,ASM013785,Bill of Materials,A-61012,BOX,1200,11.936,14323.2,1,Posted
06/13/2023,ASM013793,Bill of Materials,A-61012,BOX,1200,12.106,14527.71,1,Posted
06/13/2023,ASM013794,Bill of Materials,AC-B4BK,BAG,1500,8.453,12679.92,3,Posted
06/15/2023,ASM013795,Bill of Materials,A-61012,BOX,952,11.942,11369.24,1,Posted
06/26/2023,ASM013796,Bill of Materials,A-61260N,BOX,720,10.941,7877.61,3,Posted
06/19/2023,ASM013802,Bill of Materials,A-61260N,BOX,1773,10.746,19052.65,1,Posted
06/27/2023,ASM013809,Bill of Materials,AC-B9SLE,BAG,1600,23.724,37958.4,1,Posted
06/15/2023,ASM013815,Bill of Materials,A-61280,BAG,2882,13.348,38468.34,U,Posted
06/28/2023,ASM013816,Bill of Materials,A-61220,BOX,1000,3.897,3896.5,3,Posted
06/29/2023,ASM013818,Bill of Materials,A-61260N,BOX,585,11.029,6451.68,1,Posted
07/20/2023,ASM013824,Bill of Materials,A-61260N,BOX,1560,11.115,17338.65,3,Posted
07/24/2023,ASM013825,Bill of Materials,A-61260N,BOX,270,10.976,2963.52,3,Posted
07/07/2023,ASM013826,Bill of Materials,A-61243,BOX,200,8.014,1602.8,2,Posted
07/07/2023,ASM013826,Bill of Materials,A-61220,BOX,-400,3.783,1513.2,2,Posted
07/10/2023,ASM013828,Bill of Materials,A-61260N,BOX,245,11.047,2706.44,1,Posted
07/10/2023,ASM013829,Bill of Materials,A-61243,BOX,2400,8.47,20328.18,1,Posted
07/11/2023,ASM013832,Bill of Materials,A-61243,BOX,2400,8.569,20564.8,1,Posted
07/12/2023,ASM013833,Bill of Materials,AC-B16BK,BAG,1000,26.661,26661.19,3,Posted
07/12/2023,ASM013834,Bill of Materials,A-61243,BOX,2797,8.653,24203.45,1,Posted
07/12/2023,ASM013835,Bill of Materials,A-61243,BOX,1122,8.638,9691.83,1,Posted
07/17/2023,ASM013836,Bill of Materials,A-61012,BOX,2160,12.046,26019.36,1,Posted
07/14/2023,ASM013839,Bill of Materials,AC-B9SL,BAG,13440,23.891,321088.42,U,Posted
07/18/2023,ASM013842,Bill of Materials,AC-B9SLE,BAG,1600,22.866,36585.6,1,Posted
07/18/2023,ASM013843,Bill of Materials,A-61012,BOX,2160,12.046,26019.36,1,Posted
07/20/2023,ASM013846,Bill of Materials,AC-B8BK,BAG,1200,15.42,18504.53,3,Posted
07/21/2023,ASM013853,Bill of Materials,A-61012,BOX,3600,11.973,43103.44,1,Posted
07/25/2023,ASM013858,Bill of Materials,A-61012,BOX,2160,11.921,25749.14,1,Posted
08/14/2023,ASM013862,Bill of Materials,AC-B4BK,BAG,600,8.126,4875.6,1,Posted
07/26/2023,ASM013863,Bill of Materials,A-61280,BAG,2881,13.33,38404.66,U,Posted
07/28/2023,ASM013870,Bill of Materials,A-61220,BOX,4502,3.875,17445.25,1,Posted
07/31/2023,ASM013871,Bill of Materials,A-61220,BOX,960,3.889,3733.67,3,Posted
08/02/2023,ASM013874,Bill of Materials,A-61260N,BOX,2820,11.081,31247.7,1,Posted
08/03/2023,ASM013878,Bill of Materials,A-61012,BOX,3625,11.763,42639.26,2,Posted
08/04/2023,ASM013880,Bill of Materials,A-61220,BOX,960,3.892,3736.2,3,Posted
08/04/2023,ASM013881,Bill of Materials,A-61243,BOX,960,8.576,8232.92,3,Posted
08/04/2023,ASM013882,Bill of Materials,AC-B4BK,BAG,550,8.176,4496.53,3,Posted
08/10/2023,ASM013883,Bill of Materials,A-61220,BOX,3840,3.875,14880,3,Posted
08/04/2023,ASM013884,Bill of Materials,AC-B16BK,BAG,900,26.605,23944.1,3,Posted
08/04/2023,ASM013885,Bill of Materials,A-61260N,BOX,1829,11.045,20201.31,1,Posted
08/10/2023,ASM013886,Bill of Materials,A-61243,BOX,1966,8.771,17244.72,1,Posted
08/07/2023,ASM013890,Bill of Materials,AC-B4BK,BAG,200,7.449,1489.85,2,Posted
08/23/2023,ASM013906,Bill of Materials,AC-B4BK,BAG,1500,8.54,12810.26,1,Posted
08/16/2023,ASM013907,Bill of Materials,AC-B4BK,BAG,1000,8.148,8148.1,1,Posted
08/15/2023,ASM013915,Bill of Materials,AC-B8BK,BAG,196,15.445,3027.21,3,Posted
08/15/2023,ASM013916,Bill of Materials,AC-B9SL,BAG,4003,23.256,93093.66,U,Posted
08/16/2023,ASM013919,Bill of Materials,AC-B9SLE,BAG,1600,22.866,36585.6,1,Posted
08/16/2023,ASM013920,Bill of Materials,A-61260N,BOX,2304,11.081,25530.64,1,Posted
08/21/2023,ASM013935,Bill of Materials,A-61012,BOX,3240,11.932,38658.46,1,Posted
08/22/2023,ASM013936,Bill of Materials,A-61220,BOX,960,3.875,3720,3,Posted
08/29/2023,ASM013937,Bill of Materials,A-61243,BOX,480,8.598,4127.04,3,Posted
08/30/2023,ASM013942,Bill of Materials,AC-B4BK,BAG,1000,8.195,8194.5,3,Posted
08/30/2023,ASM013943,Bill of Materials,AC-B16BK,BAG,800,26.264,21011.44,3,Posted
09/08/2023,ASM013955,Bill of Materials,A-61243,BOX,3623,8.428,30534.63,1,Posted
09/08/2023,ASM013958,Bill of Materials,A-61012,BOX,3600,12.097,43549.39,1,Posted
09/12/2023,ASM013964,Bill of Materials,A-61243,BOX,480,8.598,4127.04,3,Posted
09/18/2023,ASM013965,Bill of Materials,A-61220,BOX,1920,3.875,7440,3,Posted
09/14/2023,ASM013975,Bill of Materials,AC-B16BK,BAG,960,26.253,25202.88,1,Posted
10/12/2023,ASM013976,Bill of Materials,AC-B16BK,BAG,960,24.988,23988.48,1,Posted
09/19/2023,ASM013977,Bill of Materials,AC-B8BK,BAG,840,15.416,12949.44,1,Posted
09/28/2023,ASM013978,Bill of Materials,AC-B8BK,BAG,126,15.256,1922.26,1,Posted
09/18/2023,ASM013979,Bill of Materials,AC-B9SLE,BAG,1600,19.939,31901.64,1,Posted
09/15/2023,ASM013980,Bill of Materials,AC-B9SL,BAG,4803,22.51,108116.94,U,Posted
09/21/2023,ASM013983,Bill of Materials,AC-B8BK,BAG,840,15.296,12848.73,1,Posted
09/20/2023,ASM013985,Bill of Materials,AC-B8BK,BAG,100,15.756,1575.6,2,Posted
09/22/2023,ASM014000,Bill of Materials,AC-B8BK,BAG,126,15.756,1985.25,2,Posted
09/25/2023,ASM014007,Bill of Materials,AC-B4BK,BAG,2000,8.189,16377.82,3,Posted
09/25/2023,ASM014008,Bill of Materials,AC-B16BK,BAG,1000,26.568,26568,3,Posted
09/26/2023,ASM014010,Bill of Materials,AC-B8BK,BAG,126,15.756,1985.25,2,Posted
09/27/2023,ASM014018,Bill of Materials,A-61280,BAG,5763,13.05,75206.2,U,Posted
09/28/2023,ASM014020,Bill of Materials,AC-B8BK,BAG,1554,15.208,23633.23,1,Posted
09/28/2023,ASM014021,Bill of Materials,A-61260N,BOX,116,10.933,1268.22,1,Posted
09/29/2023,ASM014023,Bill of Materials,AC-B8BK,BAG,840,15.208,12774.72,1,Posted
10/03/2023,ASM014024,Bill of Materials,AC-B8BK,BAG,840,14.808,12439.1,1,Posted
09/29/2023,ASM014032,Bill of Materials,A-61243,BOX,629,8.238,5181.7,1,Posted
09/29/2023,ASM014032,Bill of Materials,A-61220,BOX,-1258,3.875,4874.75,1,Posted
10/03/2023,ASM014034,Bill of Materials,AC-B8BK,BAG,210,15.908,3340.78,2,Posted
10/19/2023,ASM014035,Bill of Materials,AC-B8BK,BAG,840,13.176,11067.84,1,Posted
10/04/2023,ASM014036,Bill of Materials,AC-B8BK,BAG,840,14.626,12285.84,1,Posted
10/04/2023,ASM014037,Bill of Materials,A-61260N,BOX,3160,10.961,34635.68,1,Posted
10/10/2023,ASM014043,Bill of Materials,AC-B4BK,BAG,3000,7.819,23455.5,1,Posted
10/09/2023,ASM014044,Bill of Materials,AC-B16BK,BAG,2000,28.907,57814.62,3,Posted
10/09/2023,ASM014053,Bill of Materials,AC-B8BK,BAG,221,15.954,3525.84,2,Posted
10/06/2023,ASM014056,Bill of Materials,AC-B9SL,BAG,17003,22.123,376155.44,U,Posted
10/11/2023,ASM014057,Bill of Materials,AC-B9SLE,BAG,1600,19.974,31958.4,1,Posted
10/10/2023,ASM014058,Bill of Materials,AC-B4BK,BAG,720,7.819,5629.32,1,Posted
10/13/2023,ASM014059,Bill of Materials,A-61243,BOX,960,8.741,8391.07,3,Posted
10/11/2023,ASM014062,Bill of Materials,A-61260N,BOX,1080,10.933,11807.64,1,Posted
10/12/2023,ASM014063,Bill of Materials,AC-B4BK,BAG,480,7.419,3560.88,1,Posted
10/12/2023,ASM014065,Bill of Materials,AC-B4BK,BAG,3000,7.774,23322,3,Posted
10/16/2023,ASM014066,Bill of Materials,AC-B4BK,BAG,1200,6.569,7882.47,1,Posted
10/13/2023,ASM014069,Bill of Materials,AC-B4BK,BAG,240,8.149,1955.64,2,Posted
10/18/2023,ASM014071,Bill of Materials,AC-B4BK,BAG,1200,6.696,8035.2,1,Posted
10/17/2023,ASM014073,Bill of Materials,A-61260N,BOX,1800,10.933,19679.4,1,Posted
10/19/2023,ASM014078,Bill of Materials,AC-B4BK,BAG,180,7.419,1335.33,2,Posted
10/19/2023,ASM014079,Bill of Materials,A-61260N,BOX,2025,10.998,22271.4,1,Posted
10/20/2023,ASM014080,Bill of Materials,AC-B16BK,BAG,720,22.67,16322.05,1,Posted
10/20/2023,ASM014082,Bill of Materials,A-61243,BOX,1440,8.621,12414.49,1,Posted
10/23/2023,ASM014092,Bill of Materials,A-61220,BOX,280,4.31,1206.72,3,Posted
10/26/2023,ASM014093,Bill of Materials,A-61220,BOX,2880,3.859,11113.91,3,Posted
10/23/2023,ASM014094,Bill of Materials,A-61243,BOX,2400,8.539,20494.27,1,Posted
10/25/2023,ASM014095,Bill of Materials,AC-B8BK,BAG,210,14.622,3070.59,2,Posted
10/25/2023,ASM014096,Bill of Materials,A-61260N,BOX,720,10.933,7871.76,1,Posted
10/27/2023,ASM014099,Bill of Materials,A-61260N,BOX,1080,10.933,11807.64,1,Posted
10/27/2023,ASM014100,Bill of Materials,A-61260N,BOX,1080,11.02,11901.69,1,Posted
10/30/2023,ASM014107,Bill of Materials,A-61260N,BOX,1296,10.964,14208.77,1,Posted
10/31/2023,ASM014109,Bill of Materials,AC-B8BK,BAG,210,13.457,2826.05,2,Posted
10/31/2023,ASM014110,Bill of Materials,AC-B16BK,BAG,72,24.96,1797.12,2,Posted
11/02/2023,ASM014113,Bill of Materials,A-61260N,BOX,270,10.911,2945.97,3,Posted
10/30/2023,ASM014115,Bill of Materials,A-61280,BAG,5763,13.039,75146.26,U,Posted
10/31/2023,ASM014116,Bill of Materials,AC-B9SL,BAG,8003,20.418,163407.33,U,Posted
11/08/2023,ASM014122,Bill of Materials,AC-B9SLE,BAG,1600,21.268,34029.06,1,Posted
11/07/2023,ASM014123,Bill of Materials,A-61012,BOX,628,12.19,7655.32,1,Posted
11/10/2023,ASM014124,Bill of Materials,AC-B8BK,BAG,1680,13.576,22807.68,1,Posted
11/08/2023,ASM014125,Bill of Materials,AC-B8BK,BAG,290,12.804,3713.21,2,Posted
11/17/2023,ASM014145,Bill of Materials,AC-B8BK,BAG,1680,13.974,23475.87,1,Posted
11/14/2023,ASM014146,Bill of Materials,A-61260N,BOX,3287,10.036,32989.72,1,Posted
11/14/2023,ASM014147,Bill of Materials,A-61243,BOX,127,7.697,977.58,1,Posted
11/16/2023,ASM014148,Bill of Materials,AC-B4BK,BAG,1200,6.896,8275.2,1,Posted
11/15/2023,ASM014149,Bill of Materials,AC-B16BK,BAG,72,21.32,1535.04,2,Posted
11/22/2023,ASM014154,Bill of Materials,AC-B4BK,BAG,1200,7.161,8593.2,1,Posted
11/20/2023,ASM014157,Bill of Materials,A-61220,BOX,800,3.605,2883.99,3,Posted
11/20/2023,ASM014158,Bill of Materials,A-61260N,BOX,720,10.011,7207.92,3,Posted
11/21/2023,ASM014160,Bill of Materials,AC-B16BK,BAG,750,26.403,19802.25,3,Posted
11/27/2023,ASM014163,Bill of Materials,AC-B16BK,BAG,480,23.958,11499.84,1,Posted
11/22/2023,ASM014164,Bill of Materials,AC-B9SL,BAG,7203,20.271,146015.39,U,Posted
01/15/2024,ASM014166,Bill of Materials,AC-B9SLE,BAG,1600,20.674,33078.4,1,Posted
11/29/2023,ASM014167,Bill of Materials,AC-B4BK,BAG,720,7.161,5155.92,1,Posted
11/29/2023,ASM014170,Bill of Materials,A-61012,BOX,2520,12.229,30817.37,1,Posted
11/29/2023,ASM014172,Bill of Materials,AC-B9SL,BAG,16803,21.181,355904.39,U,Posted
11/30/2023,ASM014173,Bill of Materials,A-61243,BOX,1418,8.729,12377.02,1,Posted
11/30/2023,ASM014177,Bill of Materials,AC-B8BK,BAG,282,12.801,3609.88,2,Posted
11/30/2023,ASM014178,Bill of Materials,AC-B16BK,BAG,60,21.32,1279.2,2,Posted
12/05/2023,ASM014182,Bill of Materials,A-61220,BOX,440,3.559,1565.96,3,Posted
12/05/2023,ASM014183,Bill of Materials,A-61220,BOX,960,3.559,3416.64,3,Posted
12/05/2023,ASM014184,Bill of Materials,A-61260N,BOX,720,10.119,7285.66,3,Posted
12/07/2023,ASM014186,Bill of Materials,AC-B4BK,BAG,480,7.184,3448.08,1,Posted
12/06/2023,ASM014190,Bill of Materials,A-61012,BOX,3478,12.259,42636.19,1,Posted
12/12/2023,ASM014192,Bill of Materials,AC-B16BK,BAG,480,24.832,11919.4,1,Posted
