Document Number,Document Date,Document Type,Item Number,Item Description,U Of M,TRX QTY,Unit Cost,Extended Cost,TRX Location,Transfer To Location,Document Status
5818,01/17/2023,Transfer,AC-B8BK,AM GSG Root (Mixed) 8 oz Bag,BAG,200,16.9,3380,1,3,Posted
5818,01/17/2023,Transfer,AC-SL4,"AM GSG Slices, 1/4 LB.",BOX,60,17.291,1037.46,1,3,Posted
5818,01/17/2023,Transfer,AC-R54,"AM GSG R-5, 1/4 LB.##25",BOX,60,24.961,1497.66,1,3,Posted
5818,01/17/2023,Transfer,P-AG-ZB3,POP Am Gsg Zip-lock Bag 3 oz,EACH,400,0.07,28,1,3,Posted
5819,05/08/2023,Transfer,D-04020,POP Dong Quai/Red Date 18gx10,BOX,1056,1.273,1344.29,2,1,Posted
5820,01/16/2023,Transfer,M-70081,DH Reishi Caps 280mgx120 G Box,CASE,25,151.224,3780.6,1,3,Posted
5820,01/16/2023,Transfer,J-75004,MyKuali Spicy Fried Noodle##24,CASE,42,24.288,1020.1,1,3,Posted
5820,01/16/2023,Transfer,J-56203,Sunity HJDrink5pchx253gLitchi&Honey,CASE,70,19.35,1354.5,1,3,Posted
5820,01/16/2023,Transfer,J-56204,Sunity HJDrink5pchx253gOsmts&Honey,CASE,70,19.35,1354.5,1,3,Posted
5820,01/16/2023,Transfer,D-04037,POP Ginger H Cytl.Lemon 10ct(6x6),CASE,108,43.92,4743.36,1,3,Posted
5820,01/16/2023,Transfer,D-04061,POP Ginger Honey Cytl Original 10ct(6x6),CASE,216,40.608,8771.33,1,3,Posted
5820,01/16/2023,Transfer,C-70052,Red Ginseng R/Jelly 30x10cc,CASE,35,122.544,4289.04,1,3,Posted
5820,01/16/2023,Transfer,C-70330,Ginkgo & Red GSG Ext 30x10cc,CASE,45,107.568,4840.56,1,3,Posted
5820,01/16/2023,Transfer,C-70530,Ultra Joint Health Extract 30x10,CASE,10,127.992,1279.92,1,3,Posted
5820,01/16/2023,Transfer,C-70730,Goji On The Go 30x10cc##25,CASE,28,111.84,3131.52,1,3,Posted
5820,01/16/2023,Transfer,F-11077,POP Honey Loquat Candy 76g (18/8),CASE,15,122.544,1838.16,1,3,Posted
5820,01/16/2023,Transfer,D-13220N,POP Organic Green Tea 1.8gx20,CASE,20,20.124,402.48,1,3,Posted
5821,01/23/2023,Transfer,AC-B6SL,AM GSG Slices 6 oz Bag,BAG,120,16.487,1978.44,1,2,Posted
5821,01/23/2023,Transfer,AC-R34,"AM GSG R-3, 1/4 LB.##25",BOX,60,15.735,944.1,1,2,Posted
5821,01/23/2023,Transfer,AC-R44,"AM GSG R-4, 1/4 LB.##24",BOX,60,24.717,1483.02,1,2,Posted
5821,01/23/2023,Transfer,AC-R54,"AM GSG R-5, 1/4 LB.##25",BOX,60,23.673,1420.35,1,2,Posted
5821,01/23/2023,Transfer,AC-SL4,"AM GSG Slices, 1/4 LB.",BOX,60,17.291,1037.46,1,2,Posted
5822,01/23/2023,Transfer,F-11076A,POP Honey Loquat Candy 76g,CASE,48,116.928,5612.54,2,3,Posted
5822,01/23/2023,Transfer,F-11078,POP Honey Loquat Candy APear 76g,CASE,30,120.096,3602.88,2,3,Posted
5822,01/23/2023,Transfer,D-14200N,POP Organic Jasmine Tea 1.8gx100##23,CASE,96,70.92,6808.32,2,3,Posted
5822,01/23/2023,Transfer,A-61150,AM GSG Candy 6 oz Bag,CASE,120,39.48,4737.6,2,3,Posted
5823,01/23/2023,Transfer,F-04074,POP Ginger Chews Lychee 8 oz,CASE,1120,8.024,8986.88,1,2,Posted
5823,01/23/2023,Transfer,F-42003,POP H Loquat Pastilles 130g####FY23,CASE,24,26.832,643.97,1,2,Posted
5823,01/23/2023,Transfer,J-55500,PG NZ Clover Honey 500g,CASE,5,60.756,303.78,1,2,Posted
5823,01/23/2023,Transfer,D-04030,POP In Ginger H Cytl w/AM GSG 18gx10,CASE,80,38.448,3075.84,1,2,Posted
5823,01/23/2023,Transfer,D-60011,POP Dragon Well Green Tea 250g,CASE,42,115.836,4865.11,1,2,Posted
5823,01/23/2023,Transfer,D-60013,POP Jasmine Green Tea 180g,CASE,42,152.904,6421.97,1,2,Posted
5823,01/23/2023,Transfer,D-60014,POP Oolong Tea 250g,CASE,42,95.544,4012.85,1,2,Posted
5823,01/23/2023,Transfer,D-60015,POP Ti Kuan Yin Tea 250g,CASE,42,114.876,4824.8,1,2,Posted
5823,01/23/2023,Transfer,D-60023,POP Pearl Jasmine Tea 150g,CASE,5,131.292,656.46,1,2,Posted
5823,01/23/2023,Transfer,D-02007,"Dieter's Drink, 18 Tea Bags",CASE,140,58.752,8225.28,1,2,Posted
5823,01/23/2023,Transfer,D-19200,POP Organic BlackTea 1.8gx100##23,CASE,24,75.09,1802.16,1,2,Posted
5823,01/23/2023,Transfer,C-70113,Panax GSG Extm 30x10cc(SS Box),CASE,72,111,7992,1,2,Posted
5823,01/23/2023,Transfer,C-70123,Red Panax GSG Extm 30x10cc,CASE,40,105.768,4230.72,1,2,Posted
5824,01/30/2023,Transfer,A-6128B,AM GSG RT/Honey T/b 8.5g - Bulk,EACH,66000,0.085,5610,1,2,Posted
5824,01/30/2023,Transfer,P-AGH-18B,Am Gsg Honey RT 18 Bag - Box,EACH,3575,0.228,815.1,1,2,Posted
5824,01/30/2023,Transfer,P-AGH-18GT,Am Gsg Honey RT 18 B- Gold Tray,EACH,2400,0.132,316.8,1,2,Posted
5824,01/30/2023,Transfer,P-AGH-36S,AGH RT18 Bagsx2- Sleeve,EACH,900,0.144,129.6,1,2,Posted
5824,01/30/2023,Transfer,P-AGR-36B,AM GSG Rose Tea 36 bag - Box,EACH,60,0.403,24.18,1,2,Posted
5825,01/20/2023,Transfer,J-56041,Sunity HJ YgCoconut 390g Cup Original,CASE,90,17.059,1535.31,3,1,Posted
5825,01/20/2023,Transfer,J-56042,Sunity HJ YgCoconut 390g Cup Lime&Grapefruit,CASE,90,17.059,1535.31,3,1,Posted
5825,01/20/2023,Transfer,J-56043,Sunity HJ YgCoconut 390g Cup Peach&PassionFr.,CASE,90,17.059,1535.31,3,1,Posted
5825,01/20/2023,Transfer,F-04114,POP Ginger Chews Mango 4 oz (12ct/cs),CASE,480,8.208,3939.84,3,1,Posted
5825,01/20/2023,Transfer,D-13200N,POP Organic Green Tea 1.8gx100####FY24,CASE,120,55.32,6638.4,3,1,Posted
5826,01/23/2023,Transfer,A-61012,Wild AM GSG Instant Tea 3gx10x8,CASE,60,152.964,9177.84,1,3,Posted
5826,01/23/2023,Transfer,C-70123,Red Panax GSG Extm 30x10cc,CASE,90,97.992,8819.28,1,3,Posted
5826,01/23/2023,Transfer,C-70430,Ultra Gingko Plus 30x10cc,CASE,90,84.504,7605.36,1,3,Posted
5826,01/23/2023,Transfer,C-70530,Ultra Joint Health Extract 30x10,CASE,45,118.608,5337.36,1,3,Posted
5826,01/23/2023,Transfer,D-60013,POP Jasmine Green Tea 180g,CASE,21,152.904,3210.98,1,3,Posted
5826,01/23/2023,Transfer,D-60014,POP Oolong Tea 250g,CASE,21,95.544,2006.42,1,3,Posted
5826,01/23/2023,Transfer,D-60021,POP Organic Mao Feng Tea 120g,CASE,3,73.727,221.18,1,3,Posted
5826,01/23/2023,Transfer,D-03052,POP HT Blood Pressure 1.8gx18,CASE,396,20.58,8149.68,1,3,Posted
5826,01/23/2023,Transfer,D-03055N,POP HT Detox 1.8gx18 (NEW),CASE,264,20.316,5363.43,1,3,Posted
5826,01/23/2023,Transfer,D-03057,POP HT Relax 1.8gx18,CASE,125,36.936,4617,1,3,Posted
5826,01/23/2023,Transfer,D-04046N,POP Ginger Coconut Ins Bev35gx12##24,CASE,125,110.976,13872,1,3,Posted
5826,01/23/2023,Transfer,J-40136,POP Ins Matcha Latte 30gx12CT,CASE,350,37.254,13038.9,1,3,Posted
5830,01/30/2023,Transfer,P-GIN-S,Ginger Chews Shipper,EACH,370,27.217,10070.28,1,2,Posted
5830,01/30/2023,Transfer,J-40150,POP Honey Crystals 1.5 lbs,CASE,36,53.364,1921.1,1,2,Posted
5830,01/30/2023,Transfer,C-70123,Red Panax GSG Extm 30x10cc,CASE,135,97.992,13228.92,1,2,Posted
5830,01/30/2023,Transfer,C-70430,Ultra Gingko Plus 30x10cc,CASE,90,84.504,7605.36,1,2,Posted
5830,01/30/2023,Transfer,D-02030,PG Ban Lan Gen 10's,CASE,150,20.652,3097.8,1,2,Posted
5830,01/30/2023,Transfer,M-94306,Organic Lycii 6 oz Bag,CASE,40,57.24,2289.6,1,2,Posted
5831,01/23/2023,Transfer,T-31520,Tiger Balm Ultra 10g,CASE,432,87,37584,3,1,Posted
5832,01/26/2023,Transfer,AC-SL4,"AM GSG Slices, 1/4 LB.",BOX,120,17.291,2074.92,1,3,Posted
5832,01/26/2023,Transfer,AC-M24,"AM GSG M-2, 1/4 LB.",BOX,60,14.688,881.28,1,3,Posted
5832,01/26/2023,Transfer,AC-L44,"AM GSG L-4, 1/4 LB.##25",BOX,60,21.494,1289.62,1,3,Posted
5832,01/26/2023,Transfer,AC-L34,"AM GSG L-3, 1/4 LB.",BOX,60,21.418,1285.1,1,3,Posted
5832,01/26/2023,Transfer,AC-B16BK,AM GSG Root (Mixed) 1 lb Bag,BAG,400,31.285,12514.12,1,3,Posted
5833,01/27/2023,Transfer,F-00487,Loacker Wafer Cappuccino 220g(#10487),CASE,80,42.768,3421.44,3,1,Posted
5833,01/27/2023,Transfer,F-04113,POP Ginger Chews Orange 4 oz (12ct/cs)##24,CASE,208,7.236,1505.09,3,1,Posted
5834,01/31/2023,Transfer,T-44020N,Tiger Balm Muscle Rub Active 2 oz,CASE,150,133.62,20043,2,1,Posted
5834,01/31/2023,Transfer,D-18220N,POP Organic White Tea 1.8gx20,CASE,10,21.924,219.24,2,1,Posted
5834,01/31/2023,Transfer,F-04113,POP Ginger Chews Orange 4 oz (12ct/cs)##24,CASE,1185,8.496,10067.76,2,1,Posted
5834,01/31/2023,Transfer,F-04113,POP Ginger Chews Orange 4 oz (12ct/cs)##24,CASE,347,8.688,3014.73,2,1,Posted
5834,01/31/2023,Transfer,F-04113,POP Ginger Chews Orange 4 oz (12ct/cs)##24,CASE,482,7.77,3745.31,2,1,Posted
5835,02/01/2023,Transfer,AC-B6SL,AM GSG Slices 6 oz Bag,BAG,120,16.487,1978.44,1,2,Posted
5835,02/01/2023,Transfer,AC-R24,"AM GSG R-2, 1/4 LB.##24",BOX,120,16.677,2001.24,1,2,Posted
5835,02/01/2023,Transfer,AC-R14,"AM GSG R-1, 1/4 LB.",BOX,60,27.814,1668.84,1,2,Posted
5835,02/01/2023,Transfer,AC-R34,"AM GSG R-3, 1/4 LB.##25",BOX,120,15.735,1888.2,1,2,Posted
5835,02/01/2023,Transfer,AC-R44,"AM GSG R-4, 1/4 LB.##24",BOX,60,24.717,1483.02,1,2,Posted
5835,02/01/2023,Transfer,AC-R54,"AM GSG R-5, 1/4 LB.##25",BOX,60,16.365,981.9,1,2,Posted
5835,02/01/2023,Transfer,AC-SL4,"AM GSG Slices, 1/4 LB.",BOX,120,16.743,2009.2,1,2,Posted
5836,01/26/2023,Transfer,F-00506,Loacker Wafer Blueberry-Yougurt 150g,CASE,10,25.902,259.02,1,3,Posted
5836,01/26/2023,Transfer,F-00508,Loacker Ice Cream Wafer Vanilla 150g,CASE,10,25.902,259.02,1,3,Posted
5836,01/26/2023,Transfer,F-04070,POP Ginger Chews Original 8 oz,CASE,112,10.992,1231.1,1,3,Posted
5836,01/26/2023,Transfer,F-04059,POP Ginger Chews Peanut Butter 4 oz##23,CASE,20,26.24,524.8,1,3,Posted
5836,01/26/2023,Transfer,F-04002,POP Ginger Chews Lemon 1 lb Bulk,CASE,70,29.124,2038.68,1,3,Posted
5836,01/26/2023,Transfer,J-40150,POP Honey Crystals 1.5 lbs,CASE,45,53.364,2401.38,1,3,Posted
5836,01/26/2023,Transfer,A-61012,Wild AM GSG Instant Tea 3gx10x8,CASE,90,152.964,13766.76,1,3,Posted
5836,01/26/2023,Transfer,C-70123,Red Panax GSG Extm 30x10cc,CASE,45,97.992,4409.64,1,3,Posted
5836,01/26/2023,Transfer,D-04030,POP In Ginger H Cytl w/AM GSG 18gx10,CASE,40,38.448,1537.92,1,3,Posted
5837,01/20/2023,Transfer,J-40136,POP Ins Matcha Latte 30gx12CT,CASE,350,37.254,13038.9,1,2,Posted
5838,01/31/2023,Transfer,K-83048,POP K GSG Reishi RT Tea 48 Bags##25,CASE,36,163.17,5874.12,1,3,Posted
5838,01/31/2023,Transfer,F-04111,POP Ginger Chews Original 4 oz (12ct/cs),CASE,720,7.476,5382.72,1,3,Posted
5838,01/31/2023,Transfer,J-41214,POP Fo-ti Root Soup 105g##25,CASE,5,164.34,821.7,1,3,Posted
5838,01/31/2023,Transfer,J-55500,PG NZ Clover Honey 500g,CASE,10,60.756,607.56,1,3,Posted
5838,01/31/2023,Transfer,J-55502,PG NZ Kamahi Honey 500g,CASE,10,87.264,872.64,1,3,Posted
5838,01/31/2023,Transfer,T-10030N,"Tiger Balm 4g White, Reg/St (30/24/cs)NEW",CASE,5,390.24,1951.2,1,3,Posted
5838,01/31/2023,Transfer,F-76010,Kjeldsens 1 lb Danish Cookie(#98838),CASE,150,49.68,7452,1,3,Posted
5838,01/31/2023,Transfer,F-42003,POP H Loquat Pastilles 130g####FY23,CASE,70,26.832,1878.24,1,3,Posted
5838,01/31/2023,Transfer,F-04001,POP Ginger Chews Original 1 lb Bulk,CASE,700,23.94,16758,1,3,Posted
5838,01/31/2023,Transfer,F-04002,POP Ginger Chews Lemon 1 lb Bulk,CASE,300,28.608,8582.4,1,3,Posted
5838,01/31/2023,Transfer,D-04033,POP In Ginger H Cytl w/Turmeric 18gx25,CASE,25,56.19,1404.75,1,3,Posted
5839,02/07/2023,Transfer,D-04033,POP In Ginger H Cytl w/Turmeric 18gx25,CASE,165,56.19,9271.35,1,3,Posted
5840,02/06/2023,Transfer,M-96400,Seirogan 400 Pills,CASE,50,461.912,23095.62,3,2,Posted
5840,02/06/2023,Transfer,M-96100,Seirogan 100 Pills,CASE,80,405.9,32472,3,2,Posted
5840,02/06/2023,Transfer,A-61117,AM GSG Candy 1 lb / Bag,CASE,30,62.634,1879.02,3,2,Posted
5840,02/06/2023,Transfer,D-16100N,POP Ti Kuan Yin Tea 1.8gx100##23,CASE,24,53.4,1281.6,3,2,Posted
5840,02/06/2023,Transfer,D-13200N,POP Organic Green Tea 1.8gx100####FY24,CASE,72,57.69,4153.68,3,2,Posted
5841,02/10/2023,Transfer,D-04020,POP Dong Quai/Red Date 18gx10,CASE,48,35.604,1708.99,2,3,Posted
5841,02/10/2023,Transfer,J-31040,On Kee Abalone Gift Set (6's),CASE,150,193.524,29028.6,2,3,Posted
5841,02/10/2023,Transfer,D-14200N,POP Organic Jasmine Tea 1.8gx100##23,CASE,96,70.35,6753.6,2,3,Posted
5841,02/10/2023,Transfer,D-14100N,POP Jasmine Tea 1.8gx100##24,CASE,24,59.67,1432.08,2,3,Posted
5842,02/09/2023,Transfer,F-42003,POP H Loquat Pastilles 130g####FY23,CASE,30,26.832,804.96,1,2,Posted
5842,02/09/2023,Transfer,D-18200N,POP Organic White Tea 1.8gx100####FY24,CASE,48,70.98,3407.04,1,2,Posted
5842,02/09/2023,Transfer,F-11148A,POP Honey Loquat Candy 148g,CASE,40,69.888,2795.52,1,2,Posted
5842,02/09/2023,Transfer,D-02007,"Dieter's Drink, 18 Tea Bags",CASE,80,58.752,4700.16,1,2,Posted
5842,02/09/2023,Transfer,C-70123,Red Panax GSG Extm 30x10cc,CASE,90,97.992,8819.28,1,2,Posted
5842,02/09/2023,Transfer,C-70121,Red Panax GSG Extm 10x10cc,CASE,45,87.72,3947.4,1,2,Posted
5843,02/13/2023,Transfer,T-31322,Tiger Liniment 2 fl oz,CASE,30,440.352,13210.56,3,1,Posted
5843,02/13/2023,Transfer,J-40153,POP Honey Crystals 1 lb GB,CASE,70,27.768,1943.76,3,1,Posted
5843,02/13/2023,Transfer,D-13200N,POP Organic Green Tea 1.8gx100####FY24,CASE,72,57.69,4153.68,3,1,Posted
5845,02/22/2023,Transfer,D-04020,POP Dong Quai/Red Date 18gx10,CASE,48,35.604,1708.99,2,1,Posted
5845,02/22/2023,Transfer,J-31040,On Kee Abalone Gift Set (6's),CASE,150,193.524,29028.6,2,1,Posted
5845,02/22/2023,Transfer,D-13300N,POP Green Tea 2gx100 (Japanese S) New##24,CASE,24,58.68,1408.32,2,1,Posted
5845,02/22/2023,Transfer,J-31042,On Kee Abalone Small Can (4's) 180g,CASE,60,4.986,299.16,2,1,Posted
5845,02/22/2023,Transfer,F-10918,Loacker Wafer 250g220g FLR(4-Flv/72ct),CASE,3,188,564,2,1,Posted
5846,02/09/2023,Transfer,D-04030,POP In Ginger H Cytl w/AM GSG 18gx10,CASE,40,38.448,1537.92,1,3,Posted
5846,02/09/2023,Transfer,D-04037,POP Ginger H Cytl.Lemon 10ct(6x6),CASE,108,34.02,3674.16,1,3,Posted
5846,02/09/2023,Transfer,C-70121,Red Panax GSG Extm 10x10cc,CASE,45,87.72,3947.4,1,3,Posted
5846,02/09/2023,Transfer,J-56202,Sunity HJDrink5pchx253gPear&Honey,CASE,80,19.35,1548,1,3,Posted
5846,02/09/2023,Transfer,J-56203,Sunity HJDrink5pchx253gLitchi&Honey,CASE,80,19.35,1548,1,3,Posted
5846,02/09/2023,Transfer,D-04041,POP In Ginger H Cytl w/Lemon 18gx10####FY23,CASE,30,35.388,1061.64,1,3,Posted
5846,02/09/2023,Transfer,C-70113,Panax GSG Extm 30x10cc(SS Box),CASE,36,111,3996,1,3,Posted
5846,02/09/2023,Transfer,C-70430,Ultra Gingko Plus 30x10cc,CASE,45,84.504,3802.68,1,3,Posted
5846,02/09/2023,Transfer,C-70530,Ultra Joint Health Extract 30x10,CASE,45,118.608,5337.36,1,3,Posted
5846,02/09/2023,Transfer,F-04130,POP Ginger Chews Plus+ Original 3 oz,CASE,200,15.906,3181.15,1,3,Posted
5847,02/09/2023,Transfer,AC-B8BK,AM GSG Root (Mixed) 8 oz Bag,BAG,420,16.9,7098,1,3,Posted
5849,02/27/2023,Transfer,A-6101B,Wild AM GSG Instant Tea 3g Bulk,CASE,145,238.96,34649.2,1,2,Posted
5849,02/27/2023,Transfer,P-AIT80B,WAMG Instant Tea Paper Box 80',EACH,3900,1.1,4290,1,2,Posted
5849,02/27/2023,Transfer,P-AIT10BN,WAMG Instant Tea Inner Box 10' N,EACH,28800,0,0,1,2,Posted
5850,02/21/2023,Transfer,D-13200N,POP Organic Green Tea 1.8gx100####FY24,CASE,48,55.32,2655.36,3,2,Posted
5850,02/21/2023,Transfer,T-47010,Kwan Loong Oil 2 fl oz,CASE,80,173.52,13881.6,3,2,Posted
5850,02/21/2023,Transfer,T-47010,Kwan Loong Oil 2 fl oz,CASE,360,173.52,62467.2,3,2,Posted
5851,02/27/2023,Transfer,T-31545,Tiger Balm 50G Ultra (10x4/cs),CASE,200,198.62,39724,1,2,Posted
